kernel_str,learned_kernel,mse,lml,std,R2_tr,R2,R2_test
RBF(length_scale=1) * WhiteKernel(noise_level=1) + DotProduct(sigma_0=1) + DotProduct(sigma_0=1),RBF(length_scale=1.38e+03) * WhiteKernel(noise_level=0.106) + DotProduct(sigma_0=1.15) + DotProduct(sigma_0=0.000608),115273.2917,-94.1526,339.5192,0.0602,-0.0203,-0.3260
"DotProduct(sigma_0=1) * DotProduct(sigma_0=1) + ExpSineSquared(length_scale=1, periodicity=1) * RBF(length_scale=1)","DotProduct(sigma_0=1e-05) * DotProduct(sigma_0=1.47e-05) + ExpSineSquared(length_scale=1.55, periodicity=157) * RBF(length_scale=1e+05)",23.8350,289.3021,4.8821,0.9998,0.9998,0.9998
"RBF(length_scale=1) * DotProduct(sigma_0=1) * DotProduct(sigma_0=1) + Matern(length_scale=1, nu=1.5)","RBF(length_scale=1e+05) * DotProduct(sigma_0=0.0161) * DotProduct(sigma_0=0.0161) + Matern(length_scale=69.2, nu=1.5)",31.4851,260.6290,5.6112,0.9997,-3.6349,-20.1893
"WhiteKernel(noise_level=1) + Matern(length_scale=1, nu=1.5) * DotProduct(sigma_0=1) + DotProduct(sigma_0=1)","WhiteKernel(noise_level=1e-05) + Matern(length_scale=3.31e+03, nu=1.5) * DotProduct(sigma_0=276) + DotProduct(sigma_0=1e-05)",31.0461,261.5619,5.5719,0.9997,-3.9978,-21.8485
"Matern(length_scale=1, nu=1.5) * RationalQuadratic(alpha=1, length_scale=1) * DotProduct(sigma_0=1) + DotProduct(sigma_0=1)","Matern(length_scale=1e+05, nu=1.5) * RationalQuadratic(alpha=0.00207, length_scale=1.26e+03) * DotProduct(sigma_0=0.928) + DotProduct(sigma_0=0.013)",52.6524,277.1870,7.2562,0.9996,-1.7578,-11.6069
DotProduct(sigma_0=1) + RBF(length_scale=1) * WhiteKernel(noise_level=1) * DotProduct(sigma_0=1),DotProduct(sigma_0=1.18) + RBF(length_scale=0.00276) * WhiteKernel(noise_level=1e-05) * DotProduct(sigma_0=71.4),116336.6712,-125.4060,341.0816,0.0515,-0.0900,-0.6139
1**2 + DotProduct(sigma_0=1) * WhiteKernel(noise_level=1) * DotProduct(sigma_0=1),1.12**2 + DotProduct(sigma_0=1e-05) * WhiteKernel(noise_level=1e-05) * DotProduct(sigma_0=1e-05),136909.0629,-1013.0418,370.0122,-0.1162,-0.0921,-0.0277
"DotProduct(sigma_0=1) * RationalQuadratic(alpha=1, length_scale=1) + Matern(length_scale=1, nu=1.5) * DotProduct(sigma_0=1)","DotProduct(sigma_0=0.928) * RationalQuadratic(alpha=0.00208, length_scale=1.26e+03) + Matern(length_scale=1e+05, nu=1.5) * DotProduct(sigma_0=1.24e-05)",52.6542,277.1870,7.2563,0.9996,-1.7573,-11.6048
1**2 + DotProduct(sigma_0=1) * DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),1.12**2 + DotProduct(sigma_0=2.67e-05) * DotProduct(sigma_0=0.000952) + WhiteKernel(noise_level=0.107),115567.8094,-99.9981,339.9527,0.0578,-0.0394,-0.4048
DotProduct(sigma_0=1) + DotProduct(sigma_0=1) * DotProduct(sigma_0=1) * WhiteKernel(noise_level=1),DotProduct(sigma_0=1.03) + DotProduct(sigma_0=1e-05) * DotProduct(sigma_0=1e-05) * WhiteKernel(noise_level=1e-05),9996088.9411,-1015.4509,3161.6592,-80.4947,-119.4224,-260.0306
"DotProduct(sigma_0=1) * DotProduct(sigma_0=1) + RationalQuadratic(alpha=1, length_scale=1) + RBF(length_scale=1)","DotProduct(sigma_0=1e-05) * DotProduct(sigma_0=1e-05) + RationalQuadratic(alpha=0.000291, length_scale=9.46e+03) + RBF(length_scale=31.4)",27.5276,279.5663,5.2467,0.9998,-0.7436,-6.9708
"RationalQuadratic(alpha=1, length_scale=1) + DotProduct(sigma_0=1) * DotProduct(sigma_0=1) * 1**2","RationalQuadratic(alpha=1e+05, length_scale=31.5) + DotProduct(sigma_0=0.000609) * DotProduct(sigma_0=1e-05) * 0.00316**2",29.1487,285.5209,5.3990,0.9998,-1.4457,-10.1805
DotProduct(sigma_0=1) * 1**2 + 1**2 + DotProduct(sigma_0=1),DotProduct(sigma_0=0.15) * 0.00324**2 + 1.15**2 + DotProduct(sigma_0=0.0121),115272.5835,-1066.1601,339.5182,0.0602,-0.0210,-0.3289
"DotProduct(sigma_0=1) * DotProduct(sigma_0=1) + ExpSineSquared(length_scale=1, periodicity=1) + RBF(length_scale=1)","DotProduct(sigma_0=0.00075) * DotProduct(sigma_0=0.00075) + ExpSineSquared(length_scale=1, periodicity=1) + RBF(length_scale=31.5)",27.6785,279.5640,5.2610,0.9998,-0.7512,-7.0053
DotProduct(sigma_0=1) + DotProduct(sigma_0=1) + RBF(length_scale=1) * WhiteKernel(noise_level=1),DotProduct(sigma_0=1.13) + DotProduct(sigma_0=0.209) + RBF(length_scale=5.1e+03) * WhiteKernel(noise_level=0.106),115273.2915,-94.1526,339.5192,0.0602,-0.0203,-0.3260
DotProduct(sigma_0=1) + DotProduct(sigma_0=1) * RBF(length_scale=1) * DotProduct(sigma_0=1),DotProduct(sigma_0=0.986) + DotProduct(sigma_0=1.57e-05) * RBF(length_scale=113) * DotProduct(sigma_0=0.000141),111.2953,234.3399,10.5497,0.9991,-30085.0792,-137549.7842
"Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1) + DotProduct(sigma_0=1) * DotProduct(sigma_0=1)","Matern(length_scale=68.6, nu=1.5) + WhiteKernel(noise_level=1e-05) + DotProduct(sigma_0=0.000186) * DotProduct(sigma_0=0.000186)",36.1095,263.6147,6.0091,0.9997,-0.8949,-7.6624
"DotProduct(sigma_0=1) + DotProduct(sigma_0=1) * RationalQuadratic(alpha=1, length_scale=1) + WhiteKernel(noise_level=1)","DotProduct(sigma_0=0.0123) + DotProduct(sigma_0=0.928) * RationalQuadratic(alpha=0.00207, length_scale=1.26e+03) + WhiteKernel(noise_level=1e-05)",52.6655,277.0750,7.2571,0.9996,-1.7669,-11.6484
DotProduct(sigma_0=1) * 1**2 + 1**2 * DotProduct(sigma_0=1),DotProduct(sigma_0=0.000567) * 0.00316**2 + 0.00316**2 * DotProduct(sigma_0=364),115272.5898,-1060.7889,339.5182,0.0602,-0.0209,-0.3287
"DotProduct(sigma_0=1) + ExpSineSquared(length_scale=1, periodicity=1) * RationalQuadratic(alpha=1, length_scale=1) + DotProduct(sigma_0=1)","DotProduct(sigma_0=1e-05) + ExpSineSquared(length_scale=1.99e+03, periodicity=631) * RationalQuadratic(alpha=1e+05, length_scale=31.5) + DotProduct(sigma_0=0.00042)",28.7607,285.0971,5.3629,0.9998,-0.5985,-6.3072
DotProduct(sigma_0=1) + RBF(length_scale=1) + DotProduct(sigma_0=1) * DotProduct(sigma_0=1),DotProduct(sigma_0=0.000818) + RBF(length_scale=31.5) + DotProduct(sigma_0=0.0229) * DotProduct(sigma_0=1.24e-05),28.5425,275.7158,5.3425,0.9998,0.0147,-3.5040
"DotProduct(sigma_0=1) * Matern(length_scale=1, nu=1.5) * DotProduct(sigma_0=1) + RationalQuadratic(alpha=1, length_scale=1)","DotProduct(sigma_0=0.0105) * Matern(length_scale=1e+05, nu=1.5) * DotProduct(sigma_0=1e-05) + RationalQuadratic(alpha=5.26e+04, length_scale=31.2)",25.2204,272.5548,5.0220,0.9998,-2.9175,-16.9098
DotProduct(sigma_0=1) + DotProduct(sigma_0=1) * WhiteKernel(noise_level=1) * DotProduct(sigma_0=1),DotProduct(sigma_0=1.03) + DotProduct(sigma_0=1e-05) * WhiteKernel(noise_level=1e-05) * DotProduct(sigma_0=1e-05),9996091.3902,-1015.4509,3161.6596,-80.4947,-119.4224,-260.0306
DotProduct(sigma_0=1) + 1**2 * 1**2 * DotProduct(sigma_0=1),DotProduct(sigma_0=4.51e-05) + 0.0519**2 * 0.0113**2 * DotProduct(sigma_0=1.97e+03),115272.5834,-1066.1601,339.5182,0.0602,-0.0210,-0.3289
WhiteKernel(noise_level=1) * DotProduct(sigma_0=1) + WhiteKernel(noise_level=1) + DotProduct(sigma_0=1),WhiteKernel(noise_level=1e-05) * DotProduct(sigma_0=0.00195) + WhiteKernel(noise_level=0.051) + DotProduct(sigma_0=1.18),116336.6790,-125.4060,341.0816,0.0515,-0.0900,-0.6139
"WhiteKernel(noise_level=1) * DotProduct(sigma_0=1) + DotProduct(sigma_0=1) + Matern(length_scale=1, nu=1.5)","WhiteKernel(noise_level=1e-05) * DotProduct(sigma_0=1e-05) + DotProduct(sigma_0=0.000128) + Matern(length_scale=59.8, nu=1.5)",2117.7171,-1.8081,46.0187,0.9827,0.4489,-1.4584
1**2 * DotProduct(sigma_0=1) * WhiteKernel(noise_level=1) + DotProduct(sigma_0=1),0.00316**2 * DotProduct(sigma_0=3.26e+04) * WhiteKernel(noise_level=1e-05) + DotProduct(sigma_0=1.15),115273.2919,-93.8062,339.5192,0.0602,-0.0203,-0.3260
"Matern(length_scale=1, nu=1.5) + DotProduct(sigma_0=1) + DotProduct(sigma_0=1) * WhiteKernel(noise_level=1)","Matern(length_scale=59.8, nu=1.5) + DotProduct(sigma_0=1e-05) + DotProduct(sigma_0=0.000383) * WhiteKernel(noise_level=1e-05)",2117.7193,-1.8081,46.0187,0.9827,0.4489,-1.4584
WhiteKernel(noise_level=1) * DotProduct(sigma_0=1) * DotProduct(sigma_0=1) + 1**2,WhiteKernel(noise_level=1e-05) * DotProduct(sigma_0=1e-05) * DotProduct(sigma_0=1e-05) + 1.12**2,136909.0625,-1013.0418,370.0122,-0.1162,-0.0921,-0.0277
"WhiteKernel(noise_level=1) * DotProduct(sigma_0=1) + DotProduct(sigma_0=1) * Matern(length_scale=1, nu=1.5)","WhiteKernel(noise_level=1e-05) * DotProduct(sigma_0=0.000188) + DotProduct(sigma_0=0.948) * Matern(length_scale=1.28e+03, nu=1.5)",238.3117,-7.5671,15.4373,0.9981,-3.8007,-20.9415
DotProduct(sigma_0=1) + WhiteKernel(noise_level=1) * 1**2 * DotProduct(sigma_0=1),DotProduct(sigma_0=1.15) + WhiteKernel(noise_level=1e-05) * 0.00316**2 * DotProduct(sigma_0=3.26e+04),115273.2919,-93.8062,339.5192,0.0602,-0.0203,-0.3260
"DotProduct(sigma_0=1) * WhiteKernel(noise_level=1) * ExpSineSquared(length_scale=1, periodicity=1) + DotProduct(sigma_0=1)","DotProduct(sigma_0=71.4) * WhiteKernel(noise_level=1e-05) * ExpSineSquared(length_scale=0.00107, periodicity=3.89) + DotProduct(sigma_0=1.18)",116336.6876,-125.4060,341.0816,0.0515,-0.0900,-0.6139
WhiteKernel(noise_level=1) + DotProduct(sigma_0=1) * 1**2 * DotProduct(sigma_0=1),WhiteKernel(noise_level=0.107) + DotProduct(sigma_0=17.3) * 0.00316**2 * DotProduct(sigma_0=17.3),115221.3770,-97.6785,339.4427,0.0606,-0.0088,-0.2748
"DotProduct(sigma_0=1) + DotProduct(sigma_0=1) * RationalQuadratic(alpha=1, length_scale=1) * 1**2","DotProduct(sigma_0=1.08e-05) + DotProduct(sigma_0=300) * RationalQuadratic(alpha=1e+05, length_scale=31.9) * 0.00316**2",29.2271,285.3239,5.4062,0.9998,-0.6352,-6.4750
"RBF(length_scale=1) + RationalQuadratic(alpha=1, length_scale=1) * DotProduct(sigma_0=1) * DotProduct(sigma_0=1)","RBF(length_scale=31.5) + RationalQuadratic(alpha=310, length_scale=1e+05) * DotProduct(sigma_0=0.0149) * DotProduct(sigma_0=1.65e-05)",29.6869,276.5715,5.4486,0.9998,-1.1732,-8.9350
"DotProduct(sigma_0=1) + RationalQuadratic(alpha=1, length_scale=1) * DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)","DotProduct(sigma_0=0.000209) + RationalQuadratic(alpha=0.00207, length_scale=1.26e+03) * DotProduct(sigma_0=0.928) + WhiteKernel(noise_level=1e-05)",52.6660,277.0750,7.2571,0.9996,-1.7668,-11.6479
"ExpSineSquared(length_scale=1, periodicity=1) * DotProduct(sigma_0=1) + RationalQuadratic(alpha=1, length_scale=1) * DotProduct(sigma_0=1)","ExpSineSquared(length_scale=279, periodicity=0.503) * DotProduct(sigma_0=0.947) + RationalQuadratic(alpha=0.00138, length_scale=1.78e+03) * DotProduct(sigma_0=0.00113)",53.8026,281.1395,7.3350,0.9996,-6.2332,-32.0678
"DotProduct(sigma_0=1) + DotProduct(sigma_0=1) + RationalQuadratic(alpha=1, length_scale=1) * Matern(length_scale=1, nu=1.5)","DotProduct(sigma_0=1e-05) + DotProduct(sigma_0=1e-05) + RationalQuadratic(alpha=1e+05, length_scale=31.5) * Matern(length_scale=1e+05, nu=1.5)",28.7599,285.0971,5.3628,0.9998,-0.5984,-6.3070
DotProduct(sigma_0=1) * WhiteKernel(noise_level=1) + RBF(length_scale=1) * DotProduct(sigma_0=1),DotProduct(sigma_0=0.00815) * WhiteKernel(noise_level=1e-05) + RBF(length_scale=68.7) * DotProduct(sigma_0=0.969),710.5615,-15.2549,26.6564,0.9942,-550.0388,-2518.2783
"DotProduct(sigma_0=1) * RationalQuadratic(alpha=1, length_scale=1) * DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)","DotProduct(sigma_0=0.856) * RationalQuadratic(alpha=1e-05, length_scale=3.01e+04) * DotProduct(sigma_0=0.857) + WhiteKernel(noise_level=1e-05)",102.6953,263.3323,10.1339,0.9992,-10.1712,-50.0709
1**2 + DotProduct(sigma_0=1) * 1**2 * DotProduct(sigma_0=1),1.16**2 + DotProduct(sigma_0=1.05e-05) * 0.00316**2 * DotProduct(sigma_0=0.508),115220.1991,-1067.2615,339.4410,0.0606,-0.0093,-0.2773
"ExpSineSquared(length_scale=1, periodicity=1) * 1**2 * DotProduct(sigma_0=1) + DotProduct(sigma_0=1)","ExpSineSquared(length_scale=33.3, periodicity=78.6) * 0.00316**2 * DotProduct(sigma_0=2.88e+03) + DotProduct(sigma_0=1.06e-05)",23.0441,306.2451,4.8004,0.9998,0.9998,0.9998
"DotProduct(sigma_0=1) + Matern(length_scale=1, nu=1.5) * RBF(length_scale=1) + DotProduct(sigma_0=1)","DotProduct(sigma_0=0.00127) + Matern(length_scale=3.83e+04, nu=1.5) * RBF(length_scale=31.5) + DotProduct(sigma_0=0.00127)",28.7600,285.0972,5.3628,0.9998,-0.5984,-6.3069
"RationalQuadratic(alpha=1, length_scale=1) * Matern(length_scale=1, nu=1.5) * DotProduct(sigma_0=1) + DotProduct(sigma_0=1)","RationalQuadratic(alpha=0.00208, length_scale=1.26e+03) * Matern(length_scale=1e+05, nu=1.5) * DotProduct(sigma_0=1.16e-05) + DotProduct(sigma_0=0.927)",52.6570,277.1862,7.2565,0.9996,-1.7572,-11.6040
"DotProduct(sigma_0=1) * DotProduct(sigma_0=1) + RBF(length_scale=1) + Matern(length_scale=1, nu=1.5)","DotProduct(sigma_0=0.000184) * DotProduct(sigma_0=1e-05) + RBF(length_scale=31.4) + Matern(length_scale=4.91e+04, nu=1.5)",27.5577,279.5661,5.2495,0.9998,-0.7457,-6.9803
DotProduct(sigma_0=1) * DotProduct(sigma_0=1) + RBF(length_scale=1) + DotProduct(sigma_0=1),DotProduct(sigma_0=0.012) * DotProduct(sigma_0=0.0106) + RBF(length_scale=31.5) + DotProduct(sigma_0=0.0342),28.5426,275.7155,5.3425,0.9998,0.0142,-3.5059
"1**2 * DotProduct(sigma_0=1) + DotProduct(sigma_0=1) * Matern(length_scale=1, nu=1.5)","0.00316**2 * DotProduct(sigma_0=0.603) + DotProduct(sigma_0=275) * Matern(length_scale=3.31e+03, nu=1.5)",31.0507,262.0109,5.5723,0.9997,-3.9661,-21.7036
"WhiteKernel(noise_level=1) + DotProduct(sigma_0=1) + DotProduct(sigma_0=1) * RationalQuadratic(alpha=1, length_scale=1)","WhiteKernel(noise_level=1e-05) + DotProduct(sigma_0=0.00592) + DotProduct(sigma_0=0.928) * RationalQuadratic(alpha=0.00207, length_scale=1.26e+03)",52.6660,277.0750,7.2571,0.9996,-1.7668,-11.6479
"RBF(length_scale=1) + DotProduct(sigma_0=1) + DotProduct(sigma_0=1) * ExpSineSquared(length_scale=1, periodicity=1)","RBF(length_scale=31.4) + DotProduct(sigma_0=0.949) + DotProduct(sigma_0=0.949) * ExpSineSquared(length_scale=1, periodicity=1)",27.2947,284.6298,5.2244,0.9998,-0.2736,-4.8221
"ExpSineSquared(length_scale=1, periodicity=1) * DotProduct(sigma_0=1) + DotProduct(sigma_0=1) * 1**2","ExpSineSquared(length_scale=7.36e+03, periodicity=78.6) * DotProduct(sigma_0=2.12e+03) + DotProduct(sigma_0=0.000133) * 0.00342**2",23.0489,300.7467,4.8009,0.9998,0.9998,0.9998
"ExpSineSquared(length_scale=1, periodicity=1) + WhiteKernel(noise_level=1) * DotProduct(sigma_0=1) * DotProduct(sigma_0=1)","ExpSineSquared(length_scale=0.0125, periodicity=1.75e+04) + WhiteKernel(noise_level=1e-05) * DotProduct(sigma_0=1e-05) * DotProduct(sigma_0=0.000283)",702084.6207,-1011.6227,837.9049,-4.7239,-5.4387,-8.1018
1**2 * 1**2 + DotProduct(sigma_0=1) + DotProduct(sigma_0=1),6.55**2 * 0.0467**2 + DotProduct(sigma_0=1.11) + DotProduct(sigma_0=5.7e-05),115272.5823,-1066.5067,339.5182,0.0602,-0.0210,-0.3289
DotProduct(sigma_0=1) * DotProduct(sigma_0=1) * 1**2 + DotProduct(sigma_0=1),DotProduct(sigma_0=3.15) * DotProduct(sigma_0=5.43e+03) * 0.725**2 + DotProduct(sigma_0=2.67e+04),109384.6936,-1061.3397,330.7336,0.1082,0.0137,-0.3409
"Matern(length_scale=1, nu=1.5) * DotProduct(sigma_0=1) + DotProduct(sigma_0=1) * 1**2","Matern(length_scale=3.31e+03, nu=1.5) * DotProduct(sigma_0=275) + DotProduct(sigma_0=0.000448) * 0.00316**2",31.0512,262.0109,5.5724,0.9997,-3.9659,-21.7026
"DotProduct(sigma_0=1) * DotProduct(sigma_0=1) + Matern(length_scale=1, nu=1.5) + RationalQuadratic(alpha=1, length_scale=1)","DotProduct(sigma_0=1e-05) * DotProduct(sigma_0=0.000113) + Matern(length_scale=4.59e+04, nu=1.5) + RationalQuadratic(alpha=1e+05, length_scale=31.4)",27.5563,279.5661,5.2494,0.9998,-0.7456,-6.9800
"RationalQuadratic(alpha=1, length_scale=1) + WhiteKernel(noise_level=1) * DotProduct(sigma_0=1) * DotProduct(sigma_0=1)","RationalQuadratic(alpha=2.98e+04, length_scale=35) + WhiteKernel(noise_level=1e-05) * DotProduct(sigma_0=1.14e-05) * DotProduct(sigma_0=1e-05)",702057.2404,-1011.6227,837.8886,-4.7236,-5.4385,-8.1018
"Matern(length_scale=1, nu=1.5) + Matern(length_scale=1, nu=1.5) * DotProduct(sigma_0=1) + DotProduct(sigma_0=1)","Matern(length_scale=68.6, nu=1.5) + Matern(length_scale=1e+05, nu=1.5) * DotProduct(sigma_0=1e-05) + DotProduct(sigma_0=0.000349)",35.5520,268.9216,5.9626,0.9997,-0.2612,-4.7649
"DotProduct(sigma_0=1) * ExpSineSquared(length_scale=1, periodicity=1) + DotProduct(sigma_0=1) + Matern(length_scale=1, nu=1.5)","DotProduct(sigma_0=0.0371) * ExpSineSquared(length_scale=40.6, periodicity=0.00787) + DotProduct(sigma_0=0.00771) + Matern(length_scale=97.1, nu=1.5)",59.1149,273.6394,7.6886,0.9995,0.8657,0.3877
"DotProduct(sigma_0=1) + 1**2 * RationalQuadratic(alpha=1, length_scale=1) * DotProduct(sigma_0=1)","DotProduct(sigma_0=1e-05) + 0.00316**2 * RationalQuadratic(alpha=1e+05, length_scale=31.9) * DotProduct(sigma_0=300)",29.2272,285.3239,5.4062,0.9998,-0.6352,-6.4750
"DotProduct(sigma_0=1) + DotProduct(sigma_0=1) * WhiteKernel(noise_level=1) + ExpSineSquared(length_scale=1, periodicity=1)","DotProduct(sigma_0=0.144) + DotProduct(sigma_0=1e-05) * WhiteKernel(noise_level=1e-05) + ExpSineSquared(length_scale=4.19, periodicity=0.497)",44.6035,16.4102,6.6786,0.9996,0.9996,0.9995
DotProduct(sigma_0=1) + DotProduct(sigma_0=1) * 1**2 + WhiteKernel(noise_level=1),DotProduct(sigma_0=3.56e-05) + DotProduct(sigma_0=364) * 0.00316**2 + WhiteKernel(noise_level=0.106),115273.2916,-93.8060,339.5192,0.0602,-0.0203,-0.3260
"RationalQuadratic(alpha=1, length_scale=1) * DotProduct(sigma_0=1) * DotProduct(sigma_0=1) + RBF(length_scale=1)","RationalQuadratic(alpha=0.127, length_scale=1e+05) * DotProduct(sigma_0=0.00272) * DotProduct(sigma_0=0.0184) + RBF(length_scale=31.5)",30.4027,276.5556,5.5139,0.9998,-1.4786,-10.3313
"DotProduct(sigma_0=1) * DotProduct(sigma_0=1) + ExpSineSquared(length_scale=1, periodicity=1) + Matern(length_scale=1, nu=1.5)","DotProduct(sigma_0=1e-05) * DotProduct(sigma_0=1e-05) + ExpSineSquared(length_scale=0.926, periodicity=0.996) + Matern(length_scale=1e+05, nu=1.5)",25.3158,279.6629,5.0315,0.9998,0.9938,0.9723
DotProduct(sigma_0=1) * WhiteKernel(noise_level=1) + RBF(length_scale=1) + DotProduct(sigma_0=1),DotProduct(sigma_0=0.00254) * WhiteKernel(noise_level=1e-05) + RBF(length_scale=30.1) + DotProduct(sigma_0=1e-05),698.8775,4.0249,26.4363,0.9943,-0.1432,-4.2064
DotProduct(sigma_0=1) * RBF(length_scale=1) + 1**2 * DotProduct(sigma_0=1),DotProduct(sigma_0=0.0653) * RBF(length_scale=66) + 0.00442**2 * DotProduct(sigma_0=223),53.9623,265.5007,7.3459,0.9996,0.1240,-3.0036
WhiteKernel(noise_level=1) * DotProduct(sigma_0=1) + DotProduct(sigma_0=1) * 1**2,WhiteKernel(noise_level=1e-05) * DotProduct(sigma_0=71.5) + DotProduct(sigma_0=373) * 0.00316**2,116181.6806,-119.7907,340.8543,0.0528,-0.0837,-0.5894
"RBF(length_scale=1) + DotProduct(sigma_0=1) + DotProduct(sigma_0=1) * Matern(length_scale=1, nu=1.5)","RBF(length_scale=31.5) + DotProduct(sigma_0=1e-05) + DotProduct(sigma_0=1e-05) * Matern(length_scale=1e+05, nu=1.5)",28.7238,285.0567,5.3595,0.9998,-0.5403,-6.0415
"DotProduct(sigma_0=1) * DotProduct(sigma_0=1) + Matern(length_scale=1, nu=1.5) * ExpSineSquared(length_scale=1, periodicity=1)","DotProduct(sigma_0=0.000263) * DotProduct(sigma_0=0.000306) + Matern(length_scale=2.65e+04, nu=1.5) * ExpSineSquared(length_scale=0.00728, periodicity=2.72e+04)",29.1467,279.7644,5.3988,0.9998,-1.4438,-10.1722
"Matern(length_scale=1, nu=1.5) + DotProduct(sigma_0=1) * Matern(length_scale=1, nu=1.5) * DotProduct(sigma_0=1)","Matern(length_scale=73.1, nu=1.5) + DotProduct(sigma_0=0.0203) * Matern(length_scale=1e+05, nu=1.5) * DotProduct(sigma_0=0.000284)",31.7573,259.7504,5.6354,0.9997,-6.5825,-33.6654
WhiteKernel(noise_level=1) + RBF(length_scale=1) * DotProduct(sigma_0=1) + DotProduct(sigma_0=1),WhiteKernel(noise_level=1e-05) + RBF(length_scale=66) * DotProduct(sigma_0=3.43e-05) + DotProduct(sigma_0=0.986),54.5940,264.7052,7.3888,0.9996,0.2281,-2.5277
"DotProduct(sigma_0=1) * Matern(length_scale=1, nu=1.5) + 1**2 + DotProduct(sigma_0=1)","DotProduct(sigma_0=0.954) * Matern(length_scale=1.54e+03, nu=1.5) + 0.0194**2 + DotProduct(sigma_0=1e-05)",58.5583,259.9371,7.6523,0.9995,-4.9026,-25.9844
"Matern(length_scale=1, nu=1.5) + DotProduct(sigma_0=1) * DotProduct(sigma_0=1) + DotProduct(sigma_0=1)","Matern(length_scale=68.4, nu=1.5) + DotProduct(sigma_0=0.000839) * DotProduct(sigma_0=0.00333) + DotProduct(sigma_0=0.00279)",35.3645,259.5396,5.9468,0.9997,-0.1669,-4.3341
1**2 + DotProduct(sigma_0=1) + DotProduct(sigma_0=1) * WhiteKernel(noise_level=1),0.0555**2 + DotProduct(sigma_0=1.18) + DotProduct(sigma_0=71.4) * WhiteKernel(noise_level=1e-05),116336.6775,-125.4060,341.0816,0.0515,-0.0900,-0.6139
"DotProduct(sigma_0=1) + DotProduct(sigma_0=1) * Matern(length_scale=1, nu=1.5) * RationalQuadratic(alpha=1, length_scale=1)","DotProduct(sigma_0=0.0233) + DotProduct(sigma_0=0.928) * Matern(length_scale=1e+05, nu=1.5) * RationalQuadratic(alpha=0.00208, length_scale=1.26e+03)",52.6548,277.1870,7.2564,0.9996,-1.7574,-11.6050
"ExpSineSquared(length_scale=1, periodicity=1) + DotProduct(sigma_0=1) * DotProduct(sigma_0=1) * RBF(length_scale=1)","ExpSineSquared(length_scale=0.0113, periodicity=1.75e+04) + DotProduct(sigma_0=0.00128) * DotProduct(sigma_0=0.0183) * RBF(length_scale=1e+05)",30.4129,276.5551,5.5148,0.9998,-1.4620,-10.2549
"1**2 + DotProduct(sigma_0=1) * DotProduct(sigma_0=1) * ExpSineSquared(length_scale=1, periodicity=1)","0.0161**2 + DotProduct(sigma_0=152) * DotProduct(sigma_0=153) * ExpSineSquared(length_scale=1e+05, periodicity=78.7)",26.1449,271.6643,5.1132,0.9998,0.9997,0.9992
"WhiteKernel(noise_level=1) + DotProduct(sigma_0=1) * DotProduct(sigma_0=1) + RationalQuadratic(alpha=1, length_scale=1)","WhiteKernel(noise_level=1e-05) + DotProduct(sigma_0=1.06e-05) * DotProduct(sigma_0=1e-05) + RationalQuadratic(alpha=1e+05, length_scale=31.5)",29.1332,279.6518,5.3975,0.9998,-1.4451,-10.1778
"DotProduct(sigma_0=1) * ExpSineSquared(length_scale=1, periodicity=1) + Matern(length_scale=1, nu=1.5) + DotProduct(sigma_0=1)","DotProduct(sigma_0=0.000827) * ExpSineSquared(length_scale=1, periodicity=1) + Matern(length_scale=68.6, nu=1.5) + DotProduct(sigma_0=0.000827)",35.5676,268.9657,5.9639,0.9997,-0.2695,-4.8030
"1**2 + DotProduct(sigma_0=1) + Matern(length_scale=1, nu=1.5) * DotProduct(sigma_0=1)","0.00907**2 + DotProduct(sigma_0=0.0012) + Matern(length_scale=3.31e+03, nu=1.5) * DotProduct(sigma_0=276)",31.0297,261.6695,5.5704,0.9997,-3.9978,-21.8486
"DotProduct(sigma_0=1) * DotProduct(sigma_0=1) + RationalQuadratic(alpha=1, length_scale=1) + Matern(length_scale=1, nu=1.5)","DotProduct(sigma_0=0.00019) * DotProduct(sigma_0=1.41e-05) + RationalQuadratic(alpha=1e+05, length_scale=31.4) + Matern(length_scale=1e+05, nu=1.5)",27.5566,279.5660,5.2494,0.9998,-0.7458,-6.9807
"DotProduct(sigma_0=1) + 1**2 + DotProduct(sigma_0=1) * ExpSineSquared(length_scale=1, periodicity=1)","DotProduct(sigma_0=0.00193) + 0.94**2 + DotProduct(sigma_0=0.0599) * ExpSineSquared(length_scale=2.46, periodicity=326)",46.7444,271.7466,6.8370,0.9996,-39.0980,-182.3230
RBF(length_scale=1) + DotProduct(sigma_0=1) + DotProduct(sigma_0=1) * WhiteKernel(noise_level=1),RBF(length_scale=30.1) + DotProduct(sigma_0=0.000578) + DotProduct(sigma_0=0.000193) * WhiteKernel(noise_level=1e-05),698.8763,4.0249,26.4363,0.9943,-0.1432,-4.2063
"RBF(length_scale=1) * Matern(length_scale=1, nu=1.5) + DotProduct(sigma_0=1) + DotProduct(sigma_0=1)","RBF(length_scale=31.5) * Matern(length_scale=3.72e+04, nu=1.5) + DotProduct(sigma_0=1e-05) + DotProduct(sigma_0=1e-05)",28.7597,285.0972,5.3628,0.9998,-0.5984,-6.3068
