kernel_str,learned_kernel,mse,lml,std,R2_tr,R2,R2_test
"RationalQuadratic(alpha=1, length_scale=1) + WhiteKernel(noise_level=1) + Matern(length_scale=1, nu=1.5) + Matern(length_scale=1, nu=1.5)","RationalQuadratic(alpha=0.0212, length_scale=70.3) + WhiteKernel(noise_level=1e-05) + Matern(length_scale=168, nu=1.5) + Matern(length_scale=168, nu=1.5)",2290.4651,242.9784,47.8588,0.9995,0.9432,-5.2184
"WhiteKernel(noise_level=1) + Matern(length_scale=1, nu=1.5) + RBF(length_scale=1) + Matern(length_scale=1, nu=1.5)","WhiteKernel(noise_level=1e-05) + Matern(length_scale=95.4, nu=1.5) + RBF(length_scale=147) + Matern(length_scale=95.4, nu=1.5)",2378.4754,241.0711,48.7696,0.9995,0.8999,-9.9860
"Matern(length_scale=1, nu=1.5) + Matern(length_scale=1, nu=1.5) + 1**2 + RationalQuadratic(alpha=1, length_scale=1)","Matern(length_scale=163, nu=1.5) + Matern(length_scale=163, nu=1.5) + 3.18**2 + RationalQuadratic(alpha=0.0217, length_scale=70.2)",2293.7564,244.4809,47.8932,0.9995,0.9555,-3.8632
"RBF(length_scale=1) + Matern(length_scale=1, nu=1.5) + DotProduct(sigma_0=1) + Matern(length_scale=1, nu=1.5)","RBF(length_scale=2.03e+04) + Matern(length_scale=74.9, nu=1.5) + DotProduct(sigma_0=1e-05) + Matern(length_scale=1e+05, nu=1.5)",2370.6741,245.6088,48.6896,0.9995,0.9977,0.7757
"ExpSineSquared(length_scale=1, periodicity=1) + Matern(length_scale=1, nu=1.5) + DotProduct(sigma_0=1) + Matern(length_scale=1, nu=1.5)","ExpSineSquared(length_scale=15.6, periodicity=31.6) + Matern(length_scale=1e+05, nu=1.5) + DotProduct(sigma_0=0.000937) + Matern(length_scale=1e+05, nu=1.5)",2263.8528,285.0148,47.5800,0.9995,0.9996,0.9901
"Matern(length_scale=1, nu=1.5) + DotProduct(sigma_0=1) + 1**2 + Matern(length_scale=1, nu=1.5)","Matern(length_scale=74.9, nu=1.5) + DotProduct(sigma_0=0.00133) + 0.00316**2 + Matern(length_scale=1.84e+04, nu=1.5)",2370.2706,245.8200,48.6854,0.9995,0.9977,0.7762
"DotProduct(sigma_0=1) + WhiteKernel(noise_level=1) + Matern(length_scale=1, nu=1.5) + Matern(length_scale=1, nu=1.5)","DotProduct(sigma_0=0.00238) + WhiteKernel(noise_level=1e-05) + Matern(length_scale=1e+05, nu=1.5) + Matern(length_scale=74.9, nu=1.5)",2370.9009,245.7401,48.6919,0.9995,0.9977,0.7764
"Matern(length_scale=1, nu=1.5) + Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1) + ExpSineSquared(length_scale=1, periodicity=1)","Matern(length_scale=76, nu=1.5) + Matern(length_scale=185, nu=1.5) + WhiteKernel(noise_level=1e-05) + ExpSineSquared(length_scale=0.00852, periodicity=1e+05)",2359.7775,241.3029,48.5775,0.9995,0.9088,-9.0014
"Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1) + Matern(length_scale=1, nu=1.5) + RBF(length_scale=1)","Matern(length_scale=185, nu=1.5) + WhiteKernel(noise_level=1e-05) + Matern(length_scale=76, nu=1.5) + RBF(length_scale=136)",2359.7991,241.3029,48.5778,0.9995,0.9088,-9.0016
"Matern(length_scale=1, nu=1.5) + DotProduct(sigma_0=1) + Matern(length_scale=1, nu=1.5) + ExpSineSquared(length_scale=1, periodicity=1)","Matern(length_scale=1e+05, nu=1.5) + DotProduct(sigma_0=1e-05) + Matern(length_scale=1e+05, nu=1.5) + ExpSineSquared(length_scale=1.07, periodicity=1.01)",2239.1865,263.4400,47.3200,0.9995,0.9997,0.9907
"Matern(length_scale=1, nu=1.5) + Matern(length_scale=1, nu=1.5) + RBF(length_scale=1) + 1**2","Matern(length_scale=78.2, nu=1.5) + Matern(length_scale=140, nu=1.5) + RBF(length_scale=115) + 3.23**2",2366.4520,243.4802,48.6462,0.9995,0.9386,-5.7265
"WhiteKernel(noise_level=1) + RBF(length_scale=1) + Matern(length_scale=1, nu=1.5) + Matern(length_scale=1, nu=1.5)","WhiteKernel(noise_level=1e-05) + RBF(length_scale=136) + Matern(length_scale=76, nu=1.5) + Matern(length_scale=185, nu=1.5)",2359.8001,241.3029,48.5778,0.9995,0.9088,-9.0015
"RBF(length_scale=1) + WhiteKernel(noise_level=1) + Matern(length_scale=1, nu=1.5) + Matern(length_scale=1, nu=1.5)","RBF(length_scale=136) + WhiteKernel(noise_level=1e-05) + Matern(length_scale=76, nu=1.5) + Matern(length_scale=185, nu=1.5)",2359.7985,241.3029,48.5778,0.9995,0.9088,-9.0016
"1**2 + RationalQuadratic(alpha=1, length_scale=1) + Matern(length_scale=1, nu=1.5) + Matern(length_scale=1, nu=1.5)","3.18**2 + RationalQuadratic(alpha=0.0217, length_scale=70.2) + Matern(length_scale=163, nu=1.5) + Matern(length_scale=163, nu=1.5)",2293.7559,244.4809,47.8932,0.9995,0.9555,-3.8632
"Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1) + DotProduct(sigma_0=1) + Matern(length_scale=1, nu=1.5)","Matern(length_scale=1e+05, nu=1.5) + WhiteKernel(noise_level=1e-05) + DotProduct(sigma_0=0.000325) + Matern(length_scale=1e+05, nu=1.5)",6666.5172,237.3667,81.6487,0.9985,0.9990,0.9764
"1**2 + Matern(length_scale=1, nu=1.5) + RBF(length_scale=1) + Matern(length_scale=1, nu=1.5)","3.23**2 + Matern(length_scale=78.2, nu=1.5) + RBF(length_scale=115) + Matern(length_scale=140, nu=1.5)",2366.4519,243.4802,48.6462,0.9995,0.9386,-5.7265
"Matern(length_scale=1, nu=1.5) + RBF(length_scale=1) + Matern(length_scale=1, nu=1.5)","Matern(length_scale=76, nu=1.5) + RBF(length_scale=136) + Matern(length_scale=185, nu=1.5)",2359.2523,241.3828,48.5721,0.9995,0.9088,-9.0032
"DotProduct(sigma_0=1) + Matern(length_scale=1, nu=1.5) + Matern(length_scale=1, nu=1.5) + ExpSineSquared(length_scale=1, periodicity=1)","DotProduct(sigma_0=1e-05) + Matern(length_scale=1e+05, nu=1.5) + Matern(length_scale=1e+05, nu=1.5) + ExpSineSquared(length_scale=1.07, periodicity=1.01)",2239.1865,263.4400,47.3200,0.9995,0.9997,0.9907
"Matern(length_scale=1, nu=1.5) + Matern(length_scale=1, nu=1.5) + ExpSineSquared(length_scale=1, periodicity=1) + Matern(length_scale=1, nu=1.5)","Matern(length_scale=110, nu=1.5) + Matern(length_scale=110, nu=1.5) + ExpSineSquared(length_scale=1, periodicity=0.999) + Matern(length_scale=110, nu=1.5)",2380.7281,242.6595,48.7927,0.9995,0.9128,-8.5628
"Matern(length_scale=1, nu=1.5) + Matern(length_scale=1, nu=1.5) + 1**2 + RBF(length_scale=1)","Matern(length_scale=78.2, nu=1.5) + Matern(length_scale=140, nu=1.5) + 3.23**2 + RBF(length_scale=115)",2366.4514,243.4802,48.6462,0.9995,0.9386,-5.7265
"RBF(length_scale=1) + Matern(length_scale=1, nu=1.5) + ExpSineSquared(length_scale=1, periodicity=1) + Matern(length_scale=1, nu=1.5)","RBF(length_scale=107) + Matern(length_scale=361, nu=1.5) + ExpSineSquared(length_scale=3.22, periodicity=1.02) + Matern(length_scale=361, nu=1.5)",2196.2735,260.3982,46.8644,0.9995,0.9880,-0.2861
"Matern(length_scale=1, nu=1.5) + 1**2 + RBF(length_scale=1) + Matern(length_scale=1, nu=1.5)","Matern(length_scale=78.2, nu=1.5) + 3.23**2 + RBF(length_scale=115) + Matern(length_scale=140, nu=1.5)",2366.4609,243.4802,48.6463,0.9995,0.9386,-5.7264
"RationalQuadratic(alpha=1, length_scale=1) + Matern(length_scale=1, nu=1.5) + Matern(length_scale=1, nu=1.5)","RationalQuadratic(alpha=0.0212, length_scale=70.3) + Matern(length_scale=168, nu=1.5) + Matern(length_scale=168, nu=1.5)",2290.1218,243.0594,47.8552,0.9995,0.9432,-5.2202
"Matern(length_scale=1, nu=1.5) + ExpSineSquared(length_scale=1, periodicity=1) + Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1)","Matern(length_scale=244, nu=1.5) + ExpSineSquared(length_scale=3.2, periodicity=0.0163) + Matern(length_scale=244, nu=1.5) + WhiteKernel(noise_level=1e-05)",2160.9333,253.1068,46.4858,0.9995,0.9833,-0.8106
"Matern(length_scale=1, nu=1.5) + Matern(length_scale=1, nu=1.5) + RationalQuadratic(alpha=1, length_scale=1) + 1**2","Matern(length_scale=163, nu=1.5) + Matern(length_scale=163, nu=1.5) + RationalQuadratic(alpha=0.0217, length_scale=70.2) + 3.18**2",2293.7573,244.4809,47.8932,0.9995,0.9555,-3.8632
"Matern(length_scale=1, nu=1.5) + Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1) + RBF(length_scale=1)","Matern(length_scale=76, nu=1.5) + Matern(length_scale=185, nu=1.5) + WhiteKernel(noise_level=1e-05) + RBF(length_scale=136)",2359.7988,241.3029,48.5778,0.9995,0.9088,-9.0015
"Matern(length_scale=1, nu=1.5) + DotProduct(sigma_0=1) + RationalQuadratic(alpha=1, length_scale=1) + Matern(length_scale=1, nu=1.5)","Matern(length_scale=3.35e+04, nu=1.5) + DotProduct(sigma_0=0.00086) + RationalQuadratic(alpha=1e-05, length_scale=4.5e+04) + Matern(length_scale=74.9, nu=1.5)",2370.6618,245.6088,48.6894,0.9995,0.9977,0.7757
"RBF(length_scale=1) + Matern(length_scale=1, nu=1.5) + Matern(length_scale=1, nu=1.5) + RationalQuadratic(alpha=1, length_scale=1)","RBF(length_scale=132) + Matern(length_scale=224, nu=1.5) + Matern(length_scale=224, nu=1.5) + RationalQuadratic(alpha=0.0133, length_scale=75.4)",2315.1739,246.2337,48.1163,0.9995,0.9656,-2.7555
"DotProduct(sigma_0=1) + 1**2 + Matern(length_scale=1, nu=1.5) + Matern(length_scale=1, nu=1.5)","DotProduct(sigma_0=1e-05) + 0.0044**2 + Matern(length_scale=6.17e+04, nu=1.5) + Matern(length_scale=74.9, nu=1.5)",2370.3055,245.8200,48.6858,0.9995,0.9977,0.7762
"ExpSineSquared(length_scale=1, periodicity=1) + WhiteKernel(noise_level=1) + Matern(length_scale=1, nu=1.5) + Matern(length_scale=1, nu=1.5)","ExpSineSquared(length_scale=0.0121, periodicity=7.02e+04) + WhiteKernel(noise_level=1e-05) + Matern(length_scale=185, nu=1.5) + Matern(length_scale=76, nu=1.5)",2359.7961,241.3029,48.5777,0.9995,0.9088,-9.0016
"DotProduct(sigma_0=1) + RBF(length_scale=1) + Matern(length_scale=1, nu=1.5) + Matern(length_scale=1, nu=1.5)","DotProduct(sigma_0=0.00183) + RBF(length_scale=1.39e+03) + Matern(length_scale=1e+05, nu=1.5) + Matern(length_scale=1e+05, nu=1.5)",6660.1488,237.2049,81.6097,0.9985,0.9990,0.9764
"Matern(length_scale=1, nu=1.5) + Matern(length_scale=1, nu=1.5) + DotProduct(sigma_0=1) + RationalQuadratic(alpha=1, length_scale=1)","Matern(length_scale=1e+05, nu=1.5) + Matern(length_scale=1e+05, nu=1.5) + DotProduct(sigma_0=0.00163) + RationalQuadratic(alpha=0.00333, length_scale=86.6)",2442.6433,254.1900,49.4231,0.9994,0.9995,0.9754
"RationalQuadratic(alpha=1, length_scale=1) + Matern(length_scale=1, nu=1.5) + Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1)","RationalQuadratic(alpha=0.0212, length_scale=70.3) + Matern(length_scale=168, nu=1.5) + Matern(length_scale=168, nu=1.5) + WhiteKernel(noise_level=1e-05)",2290.4651,242.9784,47.8588,0.9995,0.9432,-5.2184
"Matern(length_scale=1, nu=1.5) + Matern(length_scale=1, nu=1.5) + Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1)","Matern(length_scale=171, nu=1.5) + Matern(length_scale=171, nu=1.5) + Matern(length_scale=79.2, nu=1.5) + WhiteKernel(noise_level=1e-05)",2361.7333,241.0474,48.5977,0.9995,0.9052,-9.3998
"Matern(length_scale=1, nu=1.5) + Matern(length_scale=1, nu=1.5)","Matern(length_scale=77.5, nu=1.5) + Matern(length_scale=166, nu=1.5)",2372.5212,237.4598,48.7085,0.9995,0.8778,-12.4112
"Matern(length_scale=1, nu=1.5) + RationalQuadratic(alpha=1, length_scale=1) + ExpSineSquared(length_scale=1, periodicity=1) + Matern(length_scale=1, nu=1.5)","Matern(length_scale=305, nu=1.5) + RationalQuadratic(alpha=1e+05, length_scale=136) + ExpSineSquared(length_scale=1.62, periodicity=1.01) + Matern(length_scale=305, nu=1.5)",2185.4259,254.7680,46.7485,0.9995,0.9860,-0.5084
"WhiteKernel(noise_level=1) + DotProduct(sigma_0=1) + Matern(length_scale=1, nu=1.5) + Matern(length_scale=1, nu=1.5)","WhiteKernel(noise_level=1e-05) + DotProduct(sigma_0=0.00387) + Matern(length_scale=1e+05, nu=1.5) + Matern(length_scale=74.9, nu=1.5)",2370.9029,245.7401,48.6919,0.9995,0.9977,0.7764
"DotProduct(sigma_0=1) + Matern(length_scale=1, nu=1.5) + RBF(length_scale=1) + Matern(length_scale=1, nu=1.5)","DotProduct(sigma_0=0.00113) + Matern(length_scale=1e+05, nu=1.5) + RBF(length_scale=1.39e+03) + Matern(length_scale=1e+05, nu=1.5)",6660.1314,237.2049,81.6096,0.9985,0.9990,0.9764
"Matern(length_scale=1, nu=1.5) + 1**2 + WhiteKernel(noise_level=1) + Matern(length_scale=1, nu=1.5)","Matern(length_scale=93.5, nu=1.5) + 3.35**2 + WhiteKernel(noise_level=1e-05) + Matern(length_scale=93.5, nu=1.5)",2371.7506,241.5535,48.7006,0.9995,0.9215,-7.6021
"Matern(length_scale=1, nu=1.5) + RationalQuadratic(alpha=1, length_scale=1) + Matern(length_scale=1, nu=1.5) + RBF(length_scale=1)","Matern(length_scale=224, nu=1.5) + RationalQuadratic(alpha=0.0133, length_scale=75.4) + Matern(length_scale=224, nu=1.5) + RBF(length_scale=132)",2315.1739,246.2337,48.1163,0.9995,0.9656,-2.7555
"1**2 + WhiteKernel(noise_level=1) + Matern(length_scale=1, nu=1.5) + Matern(length_scale=1, nu=1.5)","3.35**2 + WhiteKernel(noise_level=1e-05) + Matern(length_scale=93.5, nu=1.5) + Matern(length_scale=93.5, nu=1.5)",2371.7506,241.5535,48.7006,0.9995,0.9215,-7.6021
"Matern(length_scale=1, nu=1.5) + RBF(length_scale=1) + Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1)","Matern(length_scale=185, nu=1.5) + RBF(length_scale=136) + Matern(length_scale=76, nu=1.5) + WhiteKernel(noise_level=1e-05)",2359.7988,241.3029,48.5778,0.9995,0.9088,-9.0016
"Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1) + Matern(length_scale=1, nu=1.5)","Matern(length_scale=77.5, nu=1.5) + WhiteKernel(noise_level=1e-05) + Matern(length_scale=166, nu=1.5)",2373.0845,237.3800,48.7143,0.9995,0.8778,-12.4091
"RationalQuadratic(alpha=1, length_scale=1) + Matern(length_scale=1, nu=1.5) + 1**2 + Matern(length_scale=1, nu=1.5)","RationalQuadratic(alpha=0.0217, length_scale=70.2) + Matern(length_scale=163, nu=1.5) + 3.18**2 + Matern(length_scale=163, nu=1.5)",2293.7573,244.4809,47.8932,0.9995,0.9555,-3.8632
"RBF(length_scale=1) + Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1) + Matern(length_scale=1, nu=1.5)","RBF(length_scale=136) + Matern(length_scale=76, nu=1.5) + WhiteKernel(noise_level=1e-05) + Matern(length_scale=185, nu=1.5)",2359.7991,241.3029,48.5778,0.9995,0.9088,-9.0016
"WhiteKernel(noise_level=1) + RationalQuadratic(alpha=1, length_scale=1) + Matern(length_scale=1, nu=1.5) + Matern(length_scale=1, nu=1.5)","WhiteKernel(noise_level=1e-05) + RationalQuadratic(alpha=0.0212, length_scale=70.3) + Matern(length_scale=168, nu=1.5) + Matern(length_scale=168, nu=1.5)",2290.4651,242.9784,47.8588,0.9995,0.9432,-5.2184
"RBF(length_scale=1) + ExpSineSquared(length_scale=1, periodicity=1) + Matern(length_scale=1, nu=1.5) + Matern(length_scale=1, nu=1.5)","RBF(length_scale=136) + ExpSineSquared(length_scale=1.62, periodicity=1.01) + Matern(length_scale=305, nu=1.5) + Matern(length_scale=305, nu=1.5)",2185.4257,254.7680,46.7485,0.9995,0.9860,-0.5084
"Matern(length_scale=1, nu=1.5) + Matern(length_scale=1, nu=1.5) + RationalQuadratic(alpha=1, length_scale=1) + RationalQuadratic(alpha=1, length_scale=1)","Matern(length_scale=165, nu=1.5) + Matern(length_scale=165, nu=1.5) + RationalQuadratic(alpha=0.011, length_scale=98.5) + RationalQuadratic(alpha=0.011, length_scale=98.5)",2290.1260,243.7345,47.8553,0.9995,0.9471,-4.7893
"Matern(length_scale=1, nu=1.5) + RationalQuadratic(alpha=1, length_scale=1) + WhiteKernel(noise_level=1) + Matern(length_scale=1, nu=1.5)","Matern(length_scale=168, nu=1.5) + RationalQuadratic(alpha=0.0212, length_scale=70.3) + WhiteKernel(noise_level=1e-05) + Matern(length_scale=168, nu=1.5)",2290.4651,242.9784,47.8588,0.9995,0.9432,-5.2184
"Matern(length_scale=1, nu=1.5) + Matern(length_scale=1, nu=1.5) + ExpSineSquared(length_scale=1, periodicity=1) + RBF(length_scale=1)","Matern(length_scale=361, nu=1.5) + Matern(length_scale=361, nu=1.5) + ExpSineSquared(length_scale=3.22, periodicity=1.02) + RBF(length_scale=107)",2196.2735,260.3982,46.8644,0.9995,0.9880,-0.2861
"1**2 + Matern(length_scale=1, nu=1.5) + 1**2 + Matern(length_scale=1, nu=1.5)","2.37**2 + Matern(length_scale=93.5, nu=1.5) + 2.37**2 + Matern(length_scale=93.5, nu=1.5)",2371.2007,241.6332,48.6950,0.9995,0.9215,-7.6038
"Matern(length_scale=1, nu=1.5) + Matern(length_scale=1, nu=1.5) + DotProduct(sigma_0=1) + RBF(length_scale=1)","Matern(length_scale=74.9, nu=1.5) + Matern(length_scale=2.34e+04, nu=1.5) + DotProduct(sigma_0=0.00441) + RBF(length_scale=9.67e+04)",2370.6615,245.6088,48.6894,0.9995,0.9977,0.7757
"Matern(length_scale=1, nu=1.5) + Matern(length_scale=1, nu=1.5) + 1**2 + 1**2","Matern(length_scale=93.5, nu=1.5) + Matern(length_scale=93.5, nu=1.5) + 2.37**2 + 2.37**2",2371.2007,241.6332,48.6950,0.9995,0.9215,-7.6038
"WhiteKernel(noise_level=1) + Matern(length_scale=1, nu=1.5) + Matern(length_scale=1, nu=1.5) + 1**2","WhiteKernel(noise_level=1e-05) + Matern(length_scale=93.5, nu=1.5) + Matern(length_scale=93.5, nu=1.5) + 3.35**2",2371.7505,241.5535,48.7006,0.9995,0.9215,-7.6021
"ExpSineSquared(length_scale=1, periodicity=1) + Matern(length_scale=1, nu=1.5) + Matern(length_scale=1, nu=1.5) + RBF(length_scale=1)","ExpSineSquared(length_scale=1.62, periodicity=1.01) + Matern(length_scale=305, nu=1.5) + Matern(length_scale=305, nu=1.5) + RBF(length_scale=136)",2185.4257,254.7680,46.7485,0.9995,0.9860,-0.5084
"Matern(length_scale=1, nu=1.5) + RationalQuadratic(alpha=1, length_scale=1) + 1**2 + Matern(length_scale=1, nu=1.5)","Matern(length_scale=163, nu=1.5) + RationalQuadratic(alpha=0.0217, length_scale=70.2) + 3.18**2 + Matern(length_scale=163, nu=1.5)",2293.7560,244.4809,47.8932,0.9995,0.9555,-3.8632
"Matern(length_scale=1, nu=1.5) + Matern(length_scale=1, nu=1.5) + Matern(length_scale=1, nu=1.5) + ExpSineSquared(length_scale=1, periodicity=1)","Matern(length_scale=110, nu=1.5) + Matern(length_scale=110, nu=1.5) + Matern(length_scale=110, nu=1.5) + ExpSineSquared(length_scale=1, periodicity=0.999)",2380.7281,242.6595,48.7927,0.9995,0.9128,-8.5628
"Matern(length_scale=1, nu=1.5) + DotProduct(sigma_0=1) + Matern(length_scale=1, nu=1.5) + RBF(length_scale=1)","Matern(length_scale=74.9, nu=1.5) + DotProduct(sigma_0=0.0753) + Matern(length_scale=4.61e+03, nu=1.5) + RBF(length_scale=3.53e+04)",2370.6657,245.6077,48.6895,0.9995,0.9977,0.7756
