kernel_str,learned_kernel,mse,lml,std,R2_tr,R2,R2_test
"ExpSineSquared(length_scale=1, periodicity=1) + Matern(length_scale=1, nu=1.5) + Matern(length_scale=1, nu=1.5) + Matern(length_scale=1, nu=1.5)","ExpSineSquared(length_scale=1, periodicity=0.999) + Matern(length_scale=110, nu=1.5) + Matern(length_scale=110, nu=1.5) + Matern(length_scale=110, nu=1.5)",2380.7281,242.6595,48.7927,0.9995,0.9128,-8.5628
"Matern(length_scale=1, nu=1.5) + Matern(length_scale=1, nu=1.5) + RBF(length_scale=1)","Matern(length_scale=76, nu=1.5) + Matern(length_scale=185, nu=1.5) + RBF(length_scale=136)",2359.2545,241.3828,48.5722,0.9995,0.9088,-9.0032
"Matern(length_scale=1, nu=1.5) + DotProduct(sigma_0=1) + Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1)","Matern(length_scale=74.9, nu=1.5) + DotProduct(sigma_0=1e-05) + Matern(length_scale=1e+05, nu=1.5) + WhiteKernel(noise_level=1e-05)",2370.8978,245.7401,48.6919,0.9995,0.9977,0.7764
"ExpSineSquared(length_scale=1, periodicity=1) + Matern(length_scale=1, nu=1.5) + Matern(length_scale=1, nu=1.5)","ExpSineSquared(length_scale=1, periodicity=0.999) + Matern(length_scale=95.3, nu=1.5) + Matern(length_scale=95.3, nu=1.5)",2377.5882,241.0432,48.7605,0.9995,0.8994,-10.0345
"ExpSineSquared(length_scale=1, periodicity=1) + Matern(length_scale=1, nu=1.5) + Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1)","ExpSineSquared(length_scale=15.9, periodicity=31.7) + Matern(length_scale=244, nu=1.5) + Matern(length_scale=244, nu=1.5) + WhiteKernel(noise_level=1e-05)",2182.4953,260.4880,46.7172,0.9995,0.9834,-0.7978
"Matern(length_scale=1, nu=1.5) + Matern(length_scale=1, nu=1.5) + 1**2 + WhiteKernel(noise_level=1)","Matern(length_scale=93.5, nu=1.5) + Matern(length_scale=93.5, nu=1.5) + 3.35**2 + WhiteKernel(noise_level=1e-05)",2371.7506,241.5535,48.7006,0.9995,0.9215,-7.6021
"DotProduct(sigma_0=1) + Matern(length_scale=1, nu=1.5) + RationalQuadratic(alpha=1, length_scale=1) + Matern(length_scale=1, nu=1.5)","DotProduct(sigma_0=0.00174) + Matern(length_scale=1e+05, nu=1.5) + RationalQuadratic(alpha=0.00333, length_scale=86.6) + Matern(length_scale=9.98e+04, nu=1.5)",2442.7119,254.1900,49.4238,0.9994,0.9995,0.9754
"DotProduct(sigma_0=1) + Matern(length_scale=1, nu=1.5) + Matern(length_scale=1, nu=1.5) + RBF(length_scale=1)","DotProduct(sigma_0=0.00116) + Matern(length_scale=1e+05, nu=1.5) + Matern(length_scale=74.9, nu=1.5) + RBF(length_scale=1e+05)",2370.6515,245.6088,48.6893,0.9995,0.9977,0.7757
"Matern(length_scale=1, nu=1.5) + Matern(length_scale=1, nu=1.5) + RationalQuadratic(alpha=1, length_scale=1) + Matern(length_scale=1, nu=1.5)","Matern(length_scale=204, nu=1.5) + Matern(length_scale=204, nu=1.5) + RationalQuadratic(alpha=0.0153, length_scale=74.7) + Matern(length_scale=204, nu=1.5)",2301.5523,245.4499,47.9745,0.9995,0.9594,-3.4340
"1**2 + 1**2 + Matern(length_scale=1, nu=1.5) + Matern(length_scale=1, nu=1.5)","2.37**2 + 2.37**2 + Matern(length_scale=93.5, nu=1.5) + Matern(length_scale=93.5, nu=1.5)",2371.2007,241.6332,48.6950,0.9995,0.9215,-7.6038
"Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1) + ExpSineSquared(length_scale=1, periodicity=1) + Matern(length_scale=1, nu=1.5)","Matern(length_scale=95.4, nu=1.5) + WhiteKernel(noise_level=1e-05) + ExpSineSquared(length_scale=0.0191, periodicity=1) + Matern(length_scale=95.4, nu=1.5)",2378.2410,241.0711,48.7672,0.9995,0.8998,-9.9875
"Matern(length_scale=1, nu=1.5) + Matern(length_scale=1, nu=1.5) + RationalQuadratic(alpha=1, length_scale=1) + ExpSineSquared(length_scale=1, periodicity=1)","Matern(length_scale=195, nu=1.5) + Matern(length_scale=195, nu=1.5) + RationalQuadratic(alpha=1.19e-05, length_scale=9.51e+03) + ExpSineSquared(length_scale=1.08, periodicity=1.01)",2184.1417,245.8379,46.7348,0.9995,0.9724,-2.0053
"Matern(length_scale=1, nu=1.5) + 1**2 + Matern(length_scale=1, nu=1.5) + RBF(length_scale=1)","Matern(length_scale=78.2, nu=1.5) + 3.23**2 + Matern(length_scale=140, nu=1.5) + RBF(length_scale=115)",2366.4498,243.4802,48.6462,0.9995,0.9386,-5.7265
"WhiteKernel(noise_level=1) + Matern(length_scale=1, nu=1.5) + Matern(length_scale=1, nu=1.5) + DotProduct(sigma_0=1)","WhiteKernel(noise_level=1e-05) + Matern(length_scale=6.23e+04, nu=1.5) + Matern(length_scale=74.9, nu=1.5) + DotProduct(sigma_0=1e-05)",2370.9009,245.7401,48.6919,0.9995,0.9977,0.7764
"Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1) + Matern(length_scale=1, nu=1.5) + 1**2","Matern(length_scale=93.5, nu=1.5) + WhiteKernel(noise_level=1e-05) + Matern(length_scale=93.5, nu=1.5) + 3.35**2",2371.7506,241.5535,48.7006,0.9995,0.9215,-7.6021
"RationalQuadratic(alpha=1, length_scale=1) + Matern(length_scale=1, nu=1.5) + Matern(length_scale=1, nu=1.5) + ExpSineSquared(length_scale=1, periodicity=1)","RationalQuadratic(alpha=1.19e-05, length_scale=9.51e+03) + Matern(length_scale=195, nu=1.5) + Matern(length_scale=195, nu=1.5) + ExpSineSquared(length_scale=1.08, periodicity=1.01)",2184.1408,245.8379,46.7348,0.9995,0.9724,-2.0053
"Matern(length_scale=1, nu=1.5) + 1**2 + Matern(length_scale=1, nu=1.5)","Matern(length_scale=93.5, nu=1.5) + 3.35**2 + Matern(length_scale=93.5, nu=1.5)",2371.1995,241.6332,48.6950,0.9995,0.9215,-7.6038
"1**2 + Matern(length_scale=1, nu=1.5) + Matern(length_scale=1, nu=1.5) + ExpSineSquared(length_scale=1, periodicity=1)","1.41**2 + Matern(length_scale=243, nu=1.5) + Matern(length_scale=243, nu=1.5) + ExpSineSquared(length_scale=15.9, periodicity=0.969)",2181.6612,261.4681,46.7083,0.9995,0.9852,-0.5972
"Matern(length_scale=1, nu=1.5) + Matern(length_scale=1, nu=1.5) + RationalQuadratic(alpha=1, length_scale=1) + WhiteKernel(noise_level=1)","Matern(length_scale=168, nu=1.5) + Matern(length_scale=168, nu=1.5) + RationalQuadratic(alpha=0.0212, length_scale=70.3) + WhiteKernel(noise_level=1e-05)",2290.4651,242.9784,47.8588,0.9995,0.9432,-5.2184
"Matern(length_scale=1, nu=1.5) + 1**2 + Matern(length_scale=1, nu=1.5) + RationalQuadratic(alpha=1, length_scale=1)","Matern(length_scale=163, nu=1.5) + 3.18**2 + Matern(length_scale=163, nu=1.5) + RationalQuadratic(alpha=0.0217, length_scale=70.2)",2293.7573,244.4809,47.8932,0.9995,0.9555,-3.8632
"DotProduct(sigma_0=1) + Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1) + Matern(length_scale=1, nu=1.5)","DotProduct(sigma_0=3.96e-05) + Matern(length_scale=4.72e+04, nu=1.5) + WhiteKernel(noise_level=1e-05) + Matern(length_scale=74.9, nu=1.5)",2370.9009,245.7401,48.6919,0.9995,0.9977,0.7764
